"WordID","StrongsID"
"3","H7225"
"4","H430"
"5","H1254"
"5","H853"
"7","H8064"
"8","H853"
"10","H776"
"13","H776"
"14","H1961"
"16","H8414"
"18","H922"
"20","H2822"
"24","H6440"
"27","H8415"
"30","H7307"
"32","H430"
"33","H7363"
"34","H5921"
"36","H6440"
"39","H4325"
"41","H430"
"42","H559"
"45","H1961"
"46","H216"
"50","H216"
"52","H430"
"53","H7200"
"53","H853"
"55","H216"
"56","H3588"
"59","H2896"
"61","H430"
"62","H914"
"62","H996"
"64","H216"
"65","H996"
"67","H2822"
"69","H430"
"70","H7121"
"72","H216"
"73","H3117"
"76","H2822"
"78","H7121"
"79","H3915"
"82","H6153"
"85","H1242"
"88","H259"
"89","H3117"
"91","H430"
"92","H559"
"97","H7549"
"100","H8432"
"103","H4325"
"107","H914"
"109","H4325"
"112","H4325"
"114","H430"
"115","H6213"
"117","H7549"
"119","H914"
"121","H4325"
"122","H834"
"124","H8478"
"126","H7549"
"129","H4325"
"130","H834"
"132","H5921"
"134","H7549"
"138","H3651"
"140","H430"
"141","H7121"
"143","H7549"
"144","H8064"
"147","H6153"
"150","H1242"
"153","H8145"
"154","H3117"
"156","H430"
"157","H559"
"160","H4325"
"163","H8064"
"166","H6960"
"167","H413"
"168","H259"
"169","H4725"
"173","H3004"
"175","H7200"
"181","H430"
"182","H7121"
"184","H3004"
"186","H776"
"190","H4723"
"193","H4325"
"194","H7121"
"196","H3220"
"198","H430"
"199","H7200"
"203","H2896"
"205","H430"
"206","H559"
"209","H776"
"211","H1876"
"212","H1877"
"214","H6212"
"215","H2232"
"216","H2233"
"219","H6529"
"220","H6086"
"221","H6213"
"222","H6529"
"225","H4327"
"226","H834"
"227","H2233"
"233","H776"
"240","H776"
"242","H3318"
"243","H1877"
"245","H6212"
"246","H2232"
"247","H2233"
"250","H4327"
"253","H6086"
"254","H6213"
"255","H6529"
"257","H2233"
"263","H4327"
"265","H430"
"266","H7200"
"270","H2896"
"273","H6153"
"276","H1242"
"279","H7992"
"280","H3117"
"282","H430"
"283","H559"
"287","H3974"
"290","H7549"
"293","H8064"
"295","H914"
"297","H3117"
"300","H3915"
"306","H226"
"309","H4150"
"312","H3117"
"314","H8141"
"320","H3974"
"323","H7549"
"326","H8064"
"329","H215"
"332","H776"
"338","H430"
"339","H6213"
"340","H8147"
"341","H1419"
"342","H3974"
"344","H1419"
"345","H3974"
"347","H4475"
"349","H3117"
"352","H6996"
"353","H3974"
"355","H4475"
"357","H3915"
"361","H3556"
"364","H430"
"365","H5414"
"369","H7549"
"372","H8064"
"375","H215"
"378","H776"
"381","H4910"
"384","H3117"
"388","H3915"
"391","H914"
"393","H216"
"396","H2822"
"398","H430"
"399","H7200"
"403","H2896"
"406","H6153"
"409","H1242"
"412","H7243"
"413","H3117"
"415","H430"
"416","H559"
"419","H4325"
"422","H8317"
"425","H8318"
"427","H5315"
"428","H2416"
"430","H5775"
"433","H5774"
"434","H5921"
"436","H776"
"439","H6440"
"440","H7549"
"442","H8064"
"444","H430"
"445","H1254"
"446","H1419"
"447","H8577"
"450","H2416"
"451","H5315"
"453","H7430"
"456","H4325"
"459","H8317"
"462","H4327"
