person_id,person_name,surname,unique_attribute,sex,tribe,person_notes,name_instance,person_sequence,description
YHVH_1,YHVH,,"Holy, Holy, Holy (ISA 6:3) and too many others to fit here",male,,"In this dataset, YHVH is described as Holy, Holy, Holy (ISA 6:3) and too many others to fit here. Recorded as male.",1,1,"In this dataset, YHVH is described as Holy, Holy, Holy (ISA 6:3) and too many others to fit here. Recorded as male."
Adam_1,Adam,,first man (1CO 15:45),male,,"In this dataset, Adam is described as first man (1CO 15:45). Recorded as male.",1,2,"In this dataset, Adam is described as first man (1CO 15:45). Recorded as male."
Eve_1,Eve,,"first woman, created from Adam (GEN 2:22)",female,,"In this dataset, Eve is described as first woman, created from Adam (GEN 2:22). Recorded as female.",1,3,"In this dataset, Eve is described as first woman, created from Adam (GEN 2:22). Recorded as female."
Cain_1,Cain,,"first son of Adam (GEN 4:1), cursed from the ground (GEN 4:11)",male,,"In this dataset, Cain is described as first son of Adam (GEN 4:1), cursed from the ground (GEN 4:11). Recorded as male.",1,4,"In this dataset, Cain is described as first son of Adam (GEN 4:1), cursed from the ground (GEN 4:11). Recorded as male."
Abel_1,Abel,,"son of Adam(GEN 4:2), first person murdered (GEN 4:8)",male,,"In this dataset, Abel is described as son of Adam(GEN 4:2), first person murdered (GEN 4:8). Recorded as male.",1,5,"In this dataset, Abel is described as son of Adam(GEN 4:2), first person murdered (GEN 4:8). Recorded as male."
Enoch_1,Enoch,,son of Cain (GEN 4:17),male,,"In this dataset, Enoch is described as son of Cain (GEN 4:17). Recorded as male.",1,6,"In this dataset, Enoch is described as son of Cain (GEN 4:17). Recorded as male."
Irad_1,Irad,,son of Enoch (GEN 4:18),male,,"In this dataset, Irad is described as son of Enoch (GEN 4:18). Recorded as male.",1,7,"In this dataset, Irad is described as son of Enoch (GEN 4:18). Recorded as male."
Mehujael_1,Mehujael,,son of Irad (GEN 4:18),male,,"In this dataset, Mehujael is described as son of Irad (GEN 4:18). Recorded as male.",1,8,"In this dataset, Mehujael is described as son of Irad (GEN 4:18). Recorded as male."
Methushael_1,Methushael,,son of Mehujael (GEN 4:18),male,,"In this dataset, Methushael is described as son of Mehujael (GEN 4:18). Recorded as male.",1,9,"In this dataset, Methushael is described as son of Mehujael (GEN 4:18). Recorded as male."
Lamech_1,Lamech,,son of Methushael (GEN 4:18),male,,"In this dataset, Lamech is described as son of Methushael (GEN 4:18). Recorded as male.",1,10,"In this dataset, Lamech is described as son of Methushael (GEN 4:18). Recorded as male."
