place_id,place_name,status,image_url,license_short,license_url,artist,credit,attribution_required,source_file_page,title
1,Abana,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Abana_ba_kina.jpg/1200px-Abana_ba_kina.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Rosine250,Own work,True,https://commons.wikimedia.org/wiki/File:Abana_ba_kina.jpg,File:Abana ba kina.jpg
10,Abel-shittim,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/A_geographical_dictionary_of_the_Holy_Scriptures_-_including_also_notices_of_the_chief_places_and_people_mentioned_in_the_Apocrypha_%28IA_geographicaldict00arro_0%29.pdf/page1-1200px-thumbnail.pdf.jpg,Public domain,,"Arrowsmith, A","Internet Archive identifier: geographicaldict00arro_0
https://archive.org/download/geographicaldict00arro_0/geographicaldict00arro_0.pdf
IA contributor: University of Illinois Urbana-Champaign
IA digitizing sponsor: University of Illinois Urbana-Champaign Alternates",False,https://commons.wikimedia.org/wiki/File:A_geographical_dictionary_of_the_Holy_Scriptures_-_including_also_notices_of_the_chief_places_and_people_mentioned_in_the_Apocrypha_(IA_geographicaldict00arro_0).pdf,File:A geographical dictionary of the Holy Scriptures - including also notices of the chief places and people mentioned in the Apocrypha (IA geographicaldict00arro 0).pdf
100,Ashan,ok,https://upload.wikimedia.org/wikipedia/commons/a/a2/Ab_chenar_ashan.jpg,Public domain,,Alireza Rostami,Own work,False,https://commons.wikimedia.org/wiki/File:Ab_chenar_ashan.jpg,File:Ab chenar ashan.jpg
1000,Rhodes,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Church_of_the_virgin_of_the_burgh_Rhodes_14th_century_night.jpg/1200px-Church_of_the_virgin_of_the_burgh_Rhodes_14th_century_night.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Jebulon,Own work,False,https://commons.wikimedia.org/wiki/File:Church_of_the_virgin_of_the_burgh_Rhodes_14th_century_night.jpg,File:Church of the virgin of the burgh Rhodes 14th century night.jpg
1001,Riblah,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/92.Kamoa_el-Hermel_%28monument_dans_la_plaine_de_Riblah.%29_.jpg/1200px-92.Kamoa_el-Hermel_%28monument_dans_la_plaine_de_Riblah.%29_.jpg,Public domain,,Charles William Meredith van de Velde,File:Le_Pays_d'Israel.pdf,False,https://commons.wikimedia.org/wiki/File:92.Kamoa_el-Hermel_(monument_dans_la_plaine_de_Riblah.)_.jpg,File:92.Kamoa el-Hermel (monument dans la plaine de Riblah.) .jpg
1002,Riblah,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/92.Kamoa_el-Hermel_%28monument_dans_la_plaine_de_Riblah.%29_.jpg/1200px-92.Kamoa_el-Hermel_%28monument_dans_la_plaine_de_Riblah.%29_.jpg,Public domain,,Charles William Meredith van de Velde,File:Le_Pays_d'Israel.pdf,False,https://commons.wikimedia.org/wiki/File:92.Kamoa_el-Hermel_(monument_dans_la_plaine_de_Riblah.)_.jpg,File:92.Kamoa el-Hermel (monument dans la plaine de Riblah.) .jpg
1003,Rimmon,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/A_plie_of_gravel_on_the_moor%2C_Rimmon_Pit_Clough%2C_Saddleworth_-_geograph.org.uk_-_5512330.jpg/1200px-A_plie_of_gravel_on_the_moor%2C_Rimmon_Pit_Clough%2C_Saddleworth_-_geograph.org.uk_-_5512330.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Humphrey Bolton,Geograph Britain and Ireland,True,"https://commons.wikimedia.org/wiki/File:A_plie_of_gravel_on_the_moor,_Rimmon_Pit_Clough,_Saddleworth_-_geograph.org.uk_-_5512330.jpg","File:A plie of gravel on the moor, Rimmon Pit Clough, Saddleworth - geograph.org.uk - 5512330.jpg"
1004,Rimmon,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Northern_views._Rammun%2C_ancient_Rimmon_LOC_matpc.05521.jpg/1200px-Northern_views._Rammun%2C_ancient_Rimmon_LOC_matpc.05521.jpg,Public domain,,Matson Collection,"Library of Congress

Catalog: https://www.loc.gov/pictures/collection/matpc/item/mpc2004004077/PP
Original url: http://hdl.loc.gov/loc.pnp/matpc.05521",False,"https://commons.wikimedia.org/wiki/File:Northern_views._Rammun,_ancient_Rimmon_LOC_matpc.05521.jpg","File:Northern views. Rammun, ancient Rimmon LOC matpc.05521.jpg"
1005,Rimmon,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/A_plie_of_gravel_on_the_moor%2C_Rimmon_Pit_Clough%2C_Saddleworth_-_geograph.org.uk_-_5512330.jpg/1200px-A_plie_of_gravel_on_the_moor%2C_Rimmon_Pit_Clough%2C_Saddleworth_-_geograph.org.uk_-_5512330.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Humphrey Bolton,Geograph Britain and Ireland,True,"https://commons.wikimedia.org/wiki/File:A_plie_of_gravel_on_the_moor,_Rimmon_Pit_Clough,_Saddleworth_-_geograph.org.uk_-_5512330.jpg","File:A plie of gravel on the moor, Rimmon Pit Clough, Saddleworth - geograph.org.uk - 5512330.jpg"
1006,Rimmono,no_allowed_image_found,,,,,,,,
1007,Rimmon-perez,ok,https://upload.wikimedia.org/wikipedia/commons/0/09/Exodus_map_Hebrew.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Ori229,"self-made, drawn over a satellite image by NASA",True,https://commons.wikimedia.org/wiki/File:Exodus_map_Hebrew.jpg,File:Exodus map Hebrew.jpg
1008,Rissah,ok,https://upload.wikimedia.org/wikipedia/commons/0/09/Exodus_map_Hebrew.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Ori229,"self-made, drawn over a satellite image by NASA",True,https://commons.wikimedia.org/wiki/File:Exodus_map_Hebrew.jpg,File:Exodus map Hebrew.jpg
1009,Rithmah,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Bible_maps%2C_or%2C_A_historical_and_descriptive_atlas_of_scripture_geography_..._%28IA_biblemapsorhisto00hugh%29.pdf/page1-1200px-Bible_maps%2C_or%2C_A_historical_and_descriptive_atlas_of_scripture_geography_..._%28IA_biblemapsorhisto00hugh%29.pdf.jpg,Public domain,,"Hughes, William, 1817-1876","Internet Archive identifier: biblemapsorhisto00hugh
https://archive.org/download/biblemapsorhisto00hugh/biblemapsorhisto00hugh.pdf",False,"https://commons.wikimedia.org/wiki/File:Bible_maps,_or,_A_historical_and_descriptive_atlas_of_scripture_geography_..._(IA_biblemapsorhisto00hugh).pdf","File:Bible maps, or, A historical and descriptive atlas of scripture geography ... (IA biblemapsorhisto00hugh).pdf"
101,Ashdod,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Ashdod_Port%2C_February_2025_16.jpg/1200px-Ashdod_Port%2C_February_2025_16.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Chenspec,Own work,True,"https://commons.wikimedia.org/wiki/File:Ashdod_Port,_February_2025_16.jpg","File:Ashdod Port, February 2025 16.jpg"
1010,River,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Firehole_river_at_Upper_Geyser_Basin-2008-june.jpg/1200px-Firehole_river_at_Upper_Geyser_Basin-2008-june.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Brocken Inaglory,Own work,True,https://commons.wikimedia.org/wiki/File:Firehole_river_at_Upper_Geyser_Basin-2008-june.jpg,File:Firehole river at Upper Geyser Basin-2008-june.jpg
1011,Rock,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Amber_mountain_rock_thrush_%28Monticola_sharpei_erythronotus%29_male_2.jpg/1200px-Amber_mountain_rock_thrush_%28Monticola_sharpei_erythronotus%29_male_2.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Charles J. Sharp,"Own work, from Sharp Photography, sharpphotography.co.uk",True,https://commons.wikimedia.org/wiki/File:Amber_mountain_rock_thrush_(Monticola_sharpei_erythronotus)_male_2.jpg,File:Amber mountain rock thrush (Monticola sharpei erythronotus) male 2.jpg
1012,Rogelim,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Copa_America_2008_Rogelim%2C_May_and_Nilceu.jpg/1200px-Copa_America_2008_Rogelim%2C_May_and_Nilceu.jpg,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,Felipe Dana,Own work/Personal archive,True,"https://commons.wikimedia.org/wiki/File:Copa_America_2008_Rogelim,_May_and_Nilceu.jpg","File:Copa America 2008 Rogelim, May and Nilceu.jpg"
1013,Rome,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Angel_on_bridge_of_angels_in_Rome.JPG/1200px-Angel_on_bridge_of_angels_in_Rome.JPG,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Livioandronico2013,Own work,True,https://commons.wikimedia.org/wiki/File:Angel_on_bridge_of_angels_in_Rome.JPG,File:Angel on bridge of angels in Rome.JPG
1014,Rumah,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/KotaKinabalu_Sabah_Rumah-Brunei-02.jpg/1200px-KotaKinabalu_Sabah_Rumah-Brunei-02.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"CEphoto, Uwe Aranas",Own work,True,https://commons.wikimedia.org/wiki/File:KotaKinabalu_Sabah_Rumah-Brunei-02.jpg,File:KotaKinabalu Sabah Rumah-Brunei-02.jpg
1015,Sahar,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/2025_Poer_Sahar_2.4T_Ultra_Double-Cab_4WD.jpg/1200px-2025_Poer_Sahar_2.4T_Ultra_Double-Cab_4WD.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Chanokchon,Own work,True,https://commons.wikimedia.org/wiki/File:2025_Poer_Sahar_2.4T_Ultra_Double-Cab_4WD.jpg,File:2025 Poer Sahar 2.4T Ultra Double-Cab 4WD.jpg
1016,Salamis,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Columns_in_Roman_gymnasium%2C_Salamis%2C_Northern_Cyprus.jpg/1200px-Columns_in_Roman_gymnasium%2C_Salamis%2C_Northern_Cyprus.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Michal Klajban,Own work,True,"https://commons.wikimedia.org/wiki/File:Columns_in_Roman_gymnasium,_Salamis,_Northern_Cyprus.jpg","File:Columns in Roman gymnasium, Salamis, Northern Cyprus.jpg"
1017,Salecah,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Journal_of_the_transactions_of_the_Victoria_Institute%2C_or_Philosophical_Society_of_Great_Britain_%28IA_journaloftransac5219vict%29.pdf/page1-1200px-Journal_of_the_transactions_of_the_Victoria_Institute%2C_or_Philosophical_Society_of_Great_Britain_%28IA_journaloftransac5219vict%29.pdf.jpg,Public domain,,Victoria Institute (Great Britain),"Internet Archive identifier: journaloftransac5219vict
https://archive.org/download/journaloftransac5219vict/journaloftransac5219vict.pdf",False,"https://commons.wikimedia.org/wiki/File:Journal_of_the_transactions_of_the_Victoria_Institute,_or_Philosophical_Society_of_Great_Britain_(IA_journaloftransac5219vict).pdf","File:Journal of the transactions of the Victoria Institute, or Philosophical Society of Great Britain (IA journaloftransac5219vict).pdf"
1018,Salem,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Ciconia_ciconia_-_Affenberg_Salem.jpg/1200px-Ciconia_ciconia_-_Affenberg_Salem.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,H. Zell,Own work,True,https://commons.wikimedia.org/wiki/File:Ciconia_ciconia_-_Affenberg_Salem.jpg,File:Ciconia ciconia - Affenberg Salem.jpg
1019,Salim,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Fatehpur_Sikiri_Salim_Chishti_Tomb_2010.jpg/1200px-Fatehpur_Sikiri_Salim_Chishti_Tomb_2010.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Marcin Białek,Own work,True,https://commons.wikimedia.org/wiki/File:Fatehpur_Sikiri_Salim_Chishti_Tomb_2010.jpg,File:Fatehpur Sikiri Salim Chishti Tomb 2010.jpg
102,Ashdod's,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Ambassador_Shapiro_Tours_Ashdod%27s_Operations_Center_%286076979358%29.jpg/1200px-Ambassador_Shapiro_Tours_Ashdod%27s_Operations_Center_%286076979358%29.jpg,Public domain,,U.S. Department of State,Ambassador Shapiro Tours Ashdod's Operations Center,False,https://commons.wikimedia.org/wiki/File:Ambassador_Shapiro_Tours_Ashdod's_Operations_Center_(6076979358).jpg,File:Ambassador Shapiro Tours Ashdod's Operations Center (6076979358).jpg
1020,Salmone,ok,https://upload.wikimedia.org/wikipedia/commons/3/3c/Illustrations_de_Histoire_naturelle_des_poissons_-_Tome_5_-_Pim%C3%A9lode_commersonnien%2C_Vari%C3%A9t%C3%A9_du_plotose_anguill%C3%A9%2C_Salmone_vari%C3%A9_-_Gravure_d%27Antoine-Claude-Fran%C3%A7ois_Villerey_et_Jacques_de_S%C3%A8ve_CROP.jpg,Public domain,,Antoine-Claude-François Villerey et Jacques de Sève,https://gallica.bnf.fr/ark:/12148/btv1b2300286s/f4.item,False,"https://commons.wikimedia.org/wiki/File:Illustrations_de_Histoire_naturelle_des_poissons_-_Tome_5_-_Pimélode_commersonnien,_Variété_du_plotose_anguillé,_Salmone_varié_-_Gravure_d'Antoine-Claude-François_Villerey_et_Jacques_de_Sève_CROP.jpg","File:Illustrations de Histoire naturelle des poissons - Tome 5 - Pimélode commersonnien, Variété du plotose anguillé, Salmone varié - Gravure d'Antoine-Claude-François Villerey et Jacques de Sève CROP.jpg"
1021,Salt Sea,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Dead_sea._salt_sea.jpg/1200px-Dead_sea._salt_sea.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,MousaJO,Own work,True,https://commons.wikimedia.org/wiki/File:Dead_sea._salt_sea.jpg,File:Dead sea. salt sea.jpg
1022,Samaria,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/2011_in_Samaria_Gorge.jpg/1200px-2011_in_Samaria_Gorge.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Thomas Dahlstrøm Nielsen,Own work,True,https://commons.wikimedia.org/wiki/File:2011_in_Samaria_Gorge.jpg,File:2011 in Samaria Gorge.jpg
